3;1;700;105;0;0;3;0,45;33075;14;0.0075 * xMO;248,06
3;1;700;80;0;0;2;0,4;22400;12;0.0035 * xMO;78,4
3;1;700;120;0;0;3;0,45;37800;23;0.2*xvm2;140
3;9;1500;1000;0;0;571;0,65;975000;609;0.0015*xMO*xCANT;0
6;1;700;10;10;0;1;0,25;1750;1;6  * xM2 * xDIA;600
6;1;700;100;22;0;59;0,65;45500;17;0.0015 * xMO;68,25
6;1;700;10;2;0;1;0,25;1750;1;6*xM2*xDIA;120
6;1;700;10;0;0;1;0,25;1750;63;10.00*xM2;100
6;1;700;10;0;0;1;0,25;1750;65;80.00*xM2;800
6;1;700;0;0;0;76;0;0;73;0.2857 * xVM2;199,99
6;1;700;5,04;0;0;76;0;0;63;10.00*xM2;50,4
6;1;700;5,04;60;0;76;0;0;3;10*xM2*xDIA;3024
6;1;700;5,04;15;0;76;0;0;3;10*xM2*xDIA;756
6;1;700;16,8;15;0;76;0;0;1;6*xM2*xDIA;1512
6;1;700;2,3;2;0;76;0;0;3;10*xM2*xDIA;46
6;1;700;2,3;2;0;76;0;0;3;10*xM2*xDIA;46
6;1;700;13,75;0;0;155;1,1;10587,5;61;0.003*xMO;31,76
6;2;700;15,74;0;0;78;0,25;2754,5;100;0.0035*xMO;9,64
6;2;700;17,6;0;0;78;0,25;3080;100;0.0035*xMO;10,78
6;2;700;70;0;0;79;0,4;19600;96;0.0035*xMO;68,6
6;3;700;100;0;0;169;0,5;35000;176;0.0035 * xMO;122,5
6;3;700;50;0;0;159;0,25;8750;176;0.0035 * xMO;30,63
6;3;700;50;0;0;162;0,55;19250;176;0.0035 * xMO;67,38
6;3;700;154;0;0;234;0;0;183;3.00*xM2;462
6;3;700;15;0;0;234;0;0;145;4*xM2*xDIA;0
6;3;700;15;2;0;234;0;0;145;4*xM2*xDIA;120
6;3;700;15;0;0;234;0;0;181;2.50*xM2;37,5
6;3;700;115;3;0;234;0;0;148;5*xM2*xDIA;1725
6;3;700;40;2;0;234;0;0;147;7*xM2*xDIA;560
6;3;700;131;0;0;234;0;0;183;3.00*xM2;393
6;3;700;27;0;0;234;0;0;183;3.00*xM2;81
6;3;700;27;3;0;234;0;0;147;7*xM2*xDIA;567
6;3;700;131;3;0;234;0;0;148;5*xM2*xDIA;1965
6;3;700;19;0;0;217;0,65;8645;176;0.0035 * xMO;30,26
6;3;700;12;0;0;217;0,65;5460;179;0.0015*xMO;8,19
